noxchi;russian
Схьаерзахьа...;Повернись, пожалуйста...
Схьаверзахьа...;Повернись, пожалуйста...
ЛадогIахьа...;Послушай, пожалуйста...
ЛадогIийша...;Послушайте, пожалуйста.. .
Схьахьажахьа...;Посмотри, пожалуйста...
Хазаниг...;Красивая...
Диканиг...;Хорошая...
Дукхаяхарг...;Чтоб ты долго жила...
Дукхавахарг...;Чтоб ты долго жил...
Иоккха стаг;Бабушка (мама)...
Воккха стаг;Дедушка (папа)...
ХIе, зуда;Эй, женщина...
ХIе, стаг;Эй, человек (мужчина)...
Жима къонах;Молодой человек...
Ваши;Дядя...
Деца;Тетя...
КIант;Парень (хороший мальчик)
Ио! ;Девушка (красивая девочка)
Накъост;Товарищ (товарищи)
Доттаг! ;Друг (друзья)
Вежарий;Братья
Иижарий;Сестры
Бераш;Дети...
Нах;Люди...
Бехк ма биллалахь;Извини
Хьо дика а яй;Будь добра 
Мас сахьт даьлла алахьа;Скажи, пожалуйста, который час?
Хьуна ца хаьа, Нурадиловн цIарах театар мичахь ю?;Ты не знаешь, где театр имени Нурадилова?
Библиотеке муха ваха веза?;Как пройти в библиотеку?
Хьайна хала дацахь, Авторхановн цIарах урам мичахь бу дийцахьа суна?;Если тебя не затруднит, расскажи мне, пожалуйста, где находится улица имени Авторханова?
ВорхIалгIа автобус мичахь соцуш ю?;Где останавливается 7-ой автобус?
По оьший хьуна?;Тебе нужна помощь?
Аса гIo дей хьуна?;Помочь тебе?
Хьуна xlyхилла?;Что с тобой?
Хатта мегар дуй?;Можно спросить?
Мехкарий;Девушки
КIентий;Юноши
ДОВЗАР;ЗНАКОМСТВО
И мила ву?;Это кто?
И мила ю?;Это кто?
Уьш муьлш бу?;Это кто? (Они кто?)
Йовзийтахьа суна и;Познакомь меня с ней
Вовзийтахьа суна и;Познакомь меня с ним
Бовзийтахьа суна уьш;Познакомь меня с ними
Шу доьвзаш дуй?;Вы знакомы?
Шу доьвзаш дац?;Вы не знакомы?
Суна и ца воьвза;Я его не знаю
Суна и ца йоьвза;Я ее не знаю
Суна уьш ца боьвза;Я их не знаю
Довзийтахьа тхойшиъ;Познакомь нас
Аса довзуьйтур ду шу;Я познакомлю вас
XIapa сан;Это мой
XIapa сандоттагI ву;Это мой друг
XIapa сан нана ю;Это мой мама
XIapa сан да ву;Это мой папа 
XIapa сан ваша ву;Это мой брат
XIapa сан йиша ю;Это мой сестра
XIapa сан йоI ю;Это мой дочь
XIapa сан кIант ву;Это мой сын
XIapa сан хIусамнана ю;Это мой супруга 
XIapa сан хIусамда ву;Это мой супруг 
XIapa сан лулахо ву;Это мой сосед
XIapa сан- лулахо ю;Это мой соседка
Хьан ц!е хIун ю?;Как твое имя?
Сан цIе Салман ю;Мое имя Салман
Сан цIе Зарган ю;Мое имя Зарган
Хьо хьенан ву?;Ты чей (сын)?
Со Ахьмада” кIант Мохьмад ву;Я Ахмеда сын Магомед
Хьо хьенан йоI ю?;Ты чья дочь?
Со Хьумидан йо! Зулай ю;Я Хумида дочь Зулай
Суна чIогIа хазахета шу доьвзина;Я рад, что познакомился с вами
Щера мичара ву хьо?;Откуда ты родом?
Щера мичара ю хьо?;Откуда ты родом?
Щера мичара ду шу?;Откуда вы родом? 
Со Нажин-Юьртара ву;Я из Ножай-Юрта
Со Иоккхачу АтагIара ву;Я из Старых Атагов
Iаш мичахь ву хьо?;Где ты живешь?
lаш мичахь ю хьо?;
Со гIалахь Iаш ю;Я живу в городе
Со Гуьмсехь Iаш ву;Я живу в Гудермесе
Со юьртахь Iаш ву;Я живу в селе
Со ваша волчохь Iаш ву;Я живу у брата
Со да-нана долчохь Iаш ву;Я живу у родителей
Хьо дуьххьара веана Нохчийчу?;Ты впервые приехал в Чечню ?
Еана;Да, приехала
Веана;Да, приехал
ХIан-хIан, со кхозлагIа вогIу кхуза;Нет, я в третий раз приезжаю сюда
Са отпуск ю;У меня отпуск
Со командировке веана ;Я приехал в командировку
Со хьошалгIа еана;Я приехала в гости
Мичара веана хьо?;Откуда ты приехал?
Со Саратовера веана;Я приехал из Саратова
Со Сирера (Шемара) веана;Я приехал из Сирии
Со Иорданера веана;Я приехал из Иордании
Со Туркойн махкара веана;Я приехал из Турции
Со Францера веана;Я приехал из Франции
Со Саудера веана;Я приехал из Саудовской Аравии
Со Москвара веана;Я приехал из Москвы
Дукха Iийр вуй хьо?;Ты надолго? (Ты долго пробудешь ?)
Дукха Iийр юй хьо?;
Баттахь;Месяц
Дукха Iан даьхкиний шу?;Надолго вы приехали?
Цхьана кIиранах Iан дагахь ву со;Я предполагаю пробыть одну неделю
Хьо-хьо веана?;Ты сам приехал?
Хьо-хьо еана?;Ты сама приехала?
Хьо хьаьнца еана?;С кем ты приехала?
ХIаъ, со-со веана;Да, я сам приехал
ХIан-хIа, со доттагIчуьнца веана;Нет, я приехал с другом
ХIан-хIа, со хIусамненаца веана;Нет, я приехал с супругой
ХIан-хIа, со доьзалца веана;Нет, я приехал с семьей
ХIан-хIа, со вешица веана;Нет, я приехал с братом
ХIан-хIа, со йишица веана;Нет, я приехал с сестрой
ХIан-хIа, со кIантаца веана;Нет, я приехал с сыном
ХIан-хIа, со йоIаца веана;Нет, я приехал с дочерью
Со сайн хIусамдеца еана ;Я со своим супругом приехала
Со сайн берашца еана ;Я со своими детьми приехала
Тхо массо а цхьаьна даьхкина;Мы все вместе приехали
Мичахь сецна хьо?;Где ты остановился?
Мичахь соьвцна шу?;Где вы остановились?
Хьаьнгахь соьвцна шу?;У кого вы остановились?
Со гергара нах болчохь сецна;Я остановился у родственников
Со доттаг! волчохь сецна;Я остановился у друга
Тхо хьешацIа чохь соьвцна;Мы остановились в гостинице
Суна Къоьзана Iам ган лаьа;Я хочу увидеть озеро Кезеной
Со нохчийн иллешка, эшаршка ладогIа лууш вара;Я хотел бы послушать чеченские песни
Суна чIогIа хазахета нохчийнхелхарш, цаьрга хьажа лууш вара-кх со;Мне очень нравятся чеченские танцы, я хотел бы их посмотреть
Сайн доттаНий болчу кхача лууш вара со;Я хотел бы навестить своих друзей
Суна шун бIоьвнаш ган лаьа;Я хочу увидеть ваши башни
ВОВШАХКХЕТАР;ВСТРЕЧА
Хьажахьа кхузахь мила ву!;Посмотри, кто здесь!
Хьо муха кхаьчна кхуза?;Как ты сюда попал?
Ма тамаша бу, шу кхуза дахкар!;Как удивительно, что вы сюда приехали! 
Ма дика ду хьо веана!;Как хорошо, что ты приехал!
Ма дика ду хьо еана!;Как хорошо, что ты приехала!
Ма дика ду шу даьхкина!;Как хорошо, что вы приехали!
Ма ца моытура суна, хьо сайна кхузахь гур ву!;Я даже не мог предположить, что увижу тебя здесь!
Хьо гина хазахета суна!;Я рад тебя видеть!
Ма дукха хан яра суна хьо газа!;Как давно я тебя не видел!
Хьан доьзал муха бу?;Как твоя семья?
Да-нана муха ду?;Как родители?
Хьан гIуллакхаш муха ду?;Как твои дела?
Керла хIун ду?;Что нового?
Керла хIумма а дуй?;Что нового?
Волахьа, хьайн йиш хилча;Приходи, если будет время (возможность)
Мичахь Iаш ю хьо?;Где ты живешь?
Мичахь Iаш ву хьо?;Где ты живешь?
Муьлхачу урамехь Iаш ву хьо?;На какой улице ты живешь?
Муьлхачу урамехь Iaш ю хьо?;На какой улице ты живешь?
Со Авторхановн цIарах йолчу проспектехь Iаш ю;Я живу на проспекте имени Авторханова
Тхан цIийнан номер ткъе исс ю, квартира йолхуьйтталгIа ю;Номер нашего дома 29, квартира I6
Мас чоь ю шу”?;Сколько у вас комнат?
Тха” кхо чоь ю;У нас три комнаты
Муьлхачу этаж тIехь Iаш ду шу?;На каком этаже вы живете?
Со хьошалгIа ван мегар дуй?;Можно мне прийти в гости?
Дера мегар ду;Конечно, можно
Хьаша — доккха беркат ду;Гость — это большая благодать
Генахь Iаш дуй шу?;Вы далеко живете? 
ХIан-хIан, тхо базарна уллохь Iаш ду;Нет, мы живем рядом с рынком
Масео а цхьаьна laш дуй шу?;Вы все вместе живете?
Цхьаьна хилар — доккха ирс ду!;Быть вместе — большое счастье!
Хьайн телефон лохьа;Дай, пожалуйста, свой телефон
Юха маца вовшахкхетар ду вай?;Когда мы снова встретимся?
ДIаязъехьа сан телефон;Запиши, пожалуйста, мой телефон
Кхана Iуьйранна соьга телефон тохахьа!;Позвони мне, пожалуйста, завтра утром
ХАН. ДОЬЗАЛ;ВОЗРАСТ. СЕМЬЯ
Хьан цIе х!ун ю?;Как твое имя?
С ан цIе Разет ю;Мое имя Разет
И чIогIа хаза цIе ю;Это очень красивое имя!
Сан цIе Рамзан ю, доьвзаш хир ду вай;Меня зовут Рамзан, будем знакомы
Хьан мае шо ду?;Сколько тебе лет?
Сан берхIитта шо ду;Мне восемнадцать лет
Сан ткъе ши шо ду;Мне двадцать два года
Сан шовзткъе кхо шо ду;Мне сорок три года
Хьо СОЛ диъ шо йоккхаву;Ты старше меня на четыре года
Хьо сол пхи шо жимаву;Ты моложе меня на пять лет
Со хьол ялх шо йоккхаву;Я старше тебя на шесть лет
Со хьол ворхI шо жимаву;Я моложе тебя на семь лет
И сан хенара ву;Он моего возраста
Тхойшиъ цхьана хенара ду;Мы одного возраста
Со эзар исс бIе доьзткъалгIачу шарахь йина;Я родилась в 1980 году
Со эзар исс бIе кхузткъе кхоалгIачу шарахь вина;Я родился в 1963 году
Со кхузткъе берхIитталгIачу шарахь вина;Я — 1978 года рождения
Кхана со йина деду;У меня завтра день рождения
Мас шо кхочу хьан?;Сколько лет тебе исполняется?
Сан ткъа шо кхочу;Мне исполняется 20 лет
Уьш хIинца а вуно кегий бу;Они еще очень молодые
И воккха стаг ву;Он пожилой человек
И хьан хеннара стаг ву;Он твоего возраста
XIapa сан доьзал бу;Это моя семья
XI ара сан да ву;Это мой отец
Цуьна” цIе;Его зовут
XIapa сан нана ю;Это моя мать
Цуьна” цIе;Ее зовут
Тхан доьзалехь пхи бер ду: сой, сан ши ваший, ши йиший;В нашей семье пятеро детей: я, мои два брата и две сестры
Цхьа ваша сол ши шо воккха ву, важа сол цхьа шой ах шой жима ву;Один брат старше меня на два года, а другой младше меня на полтора года
Хьо зуда ялийна вуй?;Ты женат?
Со зуда ялийна ву;Я женат
Хьо марехь юй?;Ты замужем?
Со марехь ю;Я замужем
Со зуда ялийна вац;Я не женат
Со марехь яц;Я не замужем
Тхо дIасакъаьстина ду;Мы разошлись
Аса зуда йитина;Я разведен
XIapa сан шолгIа ялийна зуда ю;Это моя вторая жена
Бераш дуй шун?;У вас есть дети? 
Тха кхо бер ду, ши кIанттий, йоIIий;У нас трое детей, два сына и дочь
Хьан доьзал боккха буй?;У тебя большая семья?
Мас стаг ву хьа доьзалехь?;Сколько человек в твоей семье?
Исс. Цхьайтга;Девять. Одиннадцать
СанхIусамда а, диъ бер аду;У меня муж и четверо детей
Сан бераш дац;У меня нет детей
Сан доьзал бац;У меня нет семьи
Йиша-ваша дуй хьан?;Сестры-братья есть у тебя?
Са кхо йишии, виъ ваший ву;У меня три сестры и четыре брата
XIapa са воккхах волу ваша ву;Это мой старший брат
XIapa сан жимах йолу йиша ю;Это моя младшая сесгра
Да-нана дуй хьан?;У тебя есть родители?
Дала дукха бахабойла уьш!;Пусть Всевышний даст им долгую жизнь!
Дела реза хуъйла!;Спасибо!
Хьан хIусамненан мае шо ду?;Сколько лет твоей супруге ?
Хьан нана дийна юй?;Твоя мама жива?
Мас шо ду цуьнан?;Сколько ей (ему) лет?
Хьан кIентан мае шо дуг;Сколько лет твоему сыну?
Хьанах тера ву хьан кIант?;На кого похож твой сын?
Сан кIант шен дех тера ву;Мой сын похож на своего отца
Со децех тера ю;Я похожа на тетю
XI ара сан воккхах верг ву;Это мои старший
XIapa сан уггар жиманиг ю;Это моя самая младшая
ОЫШУ ДЕШНАШ;СЛОВА К ТЕМЕ
Ден нана, йоккха баба;Бабушка по отцу
Ден да, воккха дада;Дедушка по отцу
Ненан нана, баба йу;Бабушка по матери
Ненан да, дада ;Дедушка по матери
КIант ;Сын
КIант ;парень
КIант ;мальчик
ЙоI;Дочь
ЙоI;девушка
ЙоI;девочка
дада;Отец
Нана;Мама
Ваша;Брат
вежарий;братья
Йиша;Сестра
йижарий;сестры
Шича ву;Двоюродный брат
Шичой бу;Двоюродные братья
Шича ю;Двоюродная сестра
Шичой бу;Двоюродные сестры
Ваши;Дядя по отцу
ден ваша;Дядя по отцу
Деца;Тетя по отцу
ден йиша;Тетя по отцу
Ваши;Дядя по матери
йенан ваша;Дядя по матери
Неца;Тетя по матери
йенан йиша;Тетя по матери
Воккхах волу ваша;Старший брат
Йоккхах йолу йиша;Старшая сестра
Жимах волу ваша;Младший брат
Жимах йолу йиша;Младшая сестра
Вешин кIант ву;Племянник (сын брата)
Йишин кIант ву;Племянник (сын сестры)
Вешин йоI ю;Племянница(дочь брата)
Йишин йоI ю;Племянница (дочь сестры)
Бер ду;Ребенок
бераш ду;дети
КIентан кIант ву;Внук (сын сына)
ЙоьIан кIант ву;Внук (сын дочери)
КIентан йоI ю;Внучка (дочь сына)
ЙоьIан йоI ю;Внучка (дочь дочери)
ХIусамнана;Супруга
цIийннана;хозяйка
ХIусамда;Супруг
цIийнда;хозяин
Майра ву;Муж
Зуда ю;Жена, женщина
Ловзар ду;Свадьба
Нускал ду;Невеста
Нус ю;Сноха
Кхин ю;Две снохи в семье (по отношению друг к другу)
Нуц ву;Зять
Бажа ву;Два зятя в семье (по отношению друг к другу)
Марда ву;Свекр (отец мужа)
Мариана ю;Свекровь (мать мужа)
Марваша ву;Деверь (брат мужа)
Маьрйиша ю;Золовка (сестра мужа)
Стунда ву;Тесть (отец жены)
Стуннана ю;Теща (мать жены)
Стунваша ву;Шурин (брат жены)
Стунйиша ю;Своячница (сестра жены)
Десте ю;Мачеха
МерйоI ю;Падчерица
МеркIант ву;Пасынок
Жеро ю;Разведенная, вдова
Гергара нах бу;Родственники
Хьан мила ву и?;Кем он тебе доводится?
Хьан мила ю и?;Кем она тебе доводится?
И сан маьхча ву;Он мой троюродный брат
И са маьхча ю;Она моя троюродная сестра
Уьш муьлш бу?;Это кто?
Уьш сан вешин бераш ду;Это дети моего брата (племянники)
Шуна юккъехь xlyн гергарло ду?;Какое родство между вами?
Тхо маьхчой ду;Мы троюродные (братья, сестры)
ХIорш сан гергара нах бу;Это мои родственники
И хьан гергара ву?;Он твой родственник?
И хьан гергара ю?;Она твоя родственница?
ХIаъ. ХIан-хIан. И сан хьаша ву;Да. Нет. Он мой гость
ГОВЗАЛЛА;ПРОФЕССИЯ
БОЛХ;РАБОТА
Хьо хIун лелош ву?;Чем ты занимаешься?
Со болх беш ву;Я работаю
Болх беш юй хьо?;Ты работаешь?
Болх беш вуй хьо?;Ты работаешь?
Со редактор болх беш ю;Я работаю редактором
Хьо хIун болх беш ву?;Кем ты работаешь?
Хьан хIун говзалла ю?;Какая у тебя специальность?
Со хьехархо ву;Я преподаватель
ХIун хьоьхуш ву хьо?;Что ты преподаешь?
Со нохчийн МОТТ хьоьхуш ву;Я преподаю чеченский язык
Хьо мичахь болх беш ву?;Где ты работаешь?
Со болх беш вац;Я не работаю
Сайн говзалле хьаьжжина болх ца карабо суна;Я не могу найти работу по своей специальности
ХIун говзалла ю хьан?;Какая у тебя профессия?
Со дипломат ву;Я дипломат
Со Тилманча ву;Я ученый
Со конструктор ву;Я конструктор
Со лор ву;Я врач
Со гочдархо ву;Я переводчик
Со бежнийн лор ву;Я ветеринар
Со инженер ву;Я инженер
Хьо мичахь болх беш ву?;Где ты работаешь?
Со банкехь болх беш ву;Я работаюв банке
Со ишколехь болх беш ву;Я работаюв школе
Со туьканахь болх беш ву;Я работаюв магазине
Со фирмехь болх беш ву;Я работаюна фирме
Со заводехь болх беш ву;Я работаюна заводе
Со академехь болх беш ву;Я работаюв академии
Со университетехь болх беш ву;Я работаюв университете
Со больницехь болх беш ву;Я работаюв больнице
Со кафехь болх беш ву;Я работаюв кафе
Хьан зуда xlyн болх беш ю?;Кем работает твоя жена?
И болх беш яц, и цТахь Iаш ю;Она не работает, она домохозяйка
КIант вуй болх беш?;А сын работает?
И фирмехь программист ву;Он работает на фирме программистом
агроном;агроном
адвокат;адвокат
артист;артист
вотанча;бубнист
бизнесмен;бизнесмен
бугалтер;бухгалтер
пондарча;гармонист
фирмин хьаькам;глава фирмы
даьхнилелорхо;животновод
журналист;журналист
кемалелорхо;летчик
менеджер;менеджер
прокурор;прокурор
режиссер;режиссер
токарь;токарь
белхало;рабочий
слесарь;слесарь
суьдахо;судья
хьехархо;учитель
философ;философ
финансист;финансист
суртдоккхург;фотограф
суртдуьллург;художник
экономист;экономист
юрист;юрист
хехо;сторож
ДЕШАР;УЧЕБА
Хьо болх беш ю я доьшуш ю?;Ты работаешь или учишься?
Хьо болх беш ву я доьшуш ву?;
Со болх беш вац, со доьшуш ву;Я не работаю, я учусь
Со болх беш яц, со доьшуш ю;
Хьо мичахь доьшуш ву?;Где ты учишься?
Со ишколехь доьшуш ву;Я учусь в школе
Муьлхачу классехь?;В каком классе?
УьтталгIачу;В десятом
Со колледжехь доьшуш ву;Я учусь в колледже
Со ишкол чекхъяьккхина ваьлла;Я уже закончил школу
Маца?;Когда?
Стохка дешна чекхъяьлла со;Я закончила учебу в прошлом году
Со кхушара дешна чекхволу;Я заканчиваю учебу в этом году
Ахьа хIинца а ишкол чекх ца яьккхина?;Ты еще не закончил школу?
Яьккхина;Закончил
Ца яьккхина;Не закончил
Со дешархо ву;Я ученик (ученица)
Со студент ву;Я студент (студентка)
У ьш студенташ бу;Они студенты
Со университетехь доьшуш ю;Я учусь в университете
Муьлхачу факультетехь?;На каком факультете?
Экономически;На экономическом
Медицински;На медицинском
Ахьа университет чекхъяьккхина?;Ты закончил университет?
ХIан-хIан, со йоьалгТачу курсехь доьшуш ву;Нет, я учусь на четвертом курсе
ХIаъ, аса университет ши шо хьалха чекхъяьккхина;Да, я закончил университет два года назад
Муьлхачу институтехь доьшуш ву хьо?;В каком институте ты учишься?
Хьехархойн институтехь химин факультетехь доьшуш ю со;Я учусь в педагогическом институте на химическом факультете
Со юридически институтехь кхоалгIачу курсехь доьшуш ву;Я учусь на третьем курсе юридического института
Со цхьаннахьа а доьшуш вац / яц;Я нигде не учусь
Суна университете юридически;Я хочу пойти учиться в университет на
факультете деша яха лаьа;юридический факультет
Суна лор хила лаьа;Я хочу быть врачом
МОТТ ХААР;ЗНАНИЕ ЯЗЫКА
Хьуна ... мотт бийца хаьий?;Ты умеешь говорить на ... языке?
Хьуна оьрсийн мотт бийца хаьий?;Ты умеешь говорить на русском языке?
Хьуна французийн мотт бийца хаьий?;Ты умеешь говорить на французском языке?
Хьуна немцойн мотт бийца хаьий?;Ты умеешь говорить на немецком языке?
Хьуна ингалсан мотт бийца хаьий?;Ты умеешь говорить на английском языке?
Хьуна Iаьрбан мотт бийца хаьий?;Ты умеешь говорить на арабском языке?
Хьуна нохчийн мотт бийца хаьий?;Ты умеешь говорить на чеченском языке?
Хьуна нохчийн мотт хаьий?;Ты знаешь чеченский язык?
Жимма хаьа;Немного знаю
Суна нохчийн мотт;Я не умею говорить на
бийца ца хаьа;чеченском языке
Суна жимма бийца;Я немного умею говорить
хаьа нохчийн мотт;на чеченском языке
Со дуьйцучух кхета,;Я понимаю, что говорят, но
амма сайга бийца ца ло соьга;говорить сама я не могу
Со ца кхета цо;Я не понимаю, что он
дуьйцучух;говорит
Суна вон хаьа нохчийн МОТТ (дика ца хаьа);Я плохо знаю чеченский язык (хорошо не знаю)
Со хIинцца бен ца волавелла нохчий н мотт Iамо;Я только начал изучать чеченский язык
Со хIинцца бен ца йолаелла нохчий н мотт Iамо;Я только начала изучать чеченский язык
Нохчийн мотт бийца хаьий кхузахь цхьанна а?;Здесь кто-нибудь умеет говорить по-чеченски?
Суна хаьа;Я умею (знаю)
Хьо сох кхетий?;Ты меня понимаешь?
Аса дуьйцучух кхетий хьо?;Ты понимаешь, о чем я говорю?
Кхета. Ца кхета;Понимаю. Не понимаю
Со хьох ца кхета;Я тебя не понимаю
Со кхета ахьа дуьйцучух;Я понимаю, о чем ты говоришь
Со кхета ахьа бохучух;Я понимаю, о чем ты говоришь
Со дерригенах а вуно дика кхета;Я все очень хорошо понимаю
И дерригенах а ца кхета;Он не все понимает
Дерриге а кхеташ ду;Все понятно
ХIумма а кхеташ дац;Ничего не понятно
Со цхьана а датах ца кхийти;Я не понял ни одного слова
Хьайна хала дацахь, юхаалахьа;Если тебе не трудно, повтори, пожалуйста
Со ца кхийтира, юхаалахьа;Я не понял, повтори, пожалуйста
ЧIогIа алахьа, хIумма а ца хеза;Пожалуйста, говори громче, ничего не слышно
Бехк ма биллалахь, ахьа xlyн элира?;Извини, что ты сказал?
Хатта мегар дуй?;Можно спросить?
Мегар ду, хаттал;Можно, спрашивай
И дош нохчий н маттахь муха ала деза?;Как сказать это слово по-чеченски?
И дош нохчийн маттахь муха язда деза?;Как написать это слово по-чеченски?
Даймохк боху дош муха яздо нохчий н маттахь?;Как пишется слово Родина на чеченском языке?
Шо ду аса нохчий н мотт Iамо;Я изучаю чеченский язык уже год
Нохчийн аьзнаш ала чIогIа хала ду;Произносить чеченские звуки очень трудно
Iхо нохчий мотт Iамош ду;Мы учим чеченский язык
Суна нохчий мотт Iамо лаьа;Я хочу выучить чеченский язык
Сан Нохчийчохь дуккха а доттагIий бу, суна цера н йена н маттахь къамел да н лаьа цаьрца;У меня в Чечне много друзей, и я хочу говорить с ними на их родном языке
XIapa нохчий н матте муха даккха деза?;Как это перевести на чеченский язык?
XIapa оьрсийн матте муха даккха деза?;Как это перевести на русский язык?
И предложени гочъехьа суна;Переведи мне, пожалуйста, это предложение
Цунна ледара хаьа нохчийн мотт;Он слабо знает чеченский язык
Иаьххьара дош кхи н цкъа а алахьа;Повтори, пожалуйста, еще раз последнее слово
Аса нийса гочдиний?;Я правильно перевел?
Цо xly н боху?;Что он говорит?
Ахьа xlyн элира?;Что ты сказал?
Xly н маьIана ду цу деша н?;Что означает это слово?
И бохург xly н ду?;Что это значит?
И дош муха ала деза?;Как нужно произнести это слово?
ДIаяздехьа и дош;Напиши, пожалуйста, это слово
Аса нийса яздиний?;Я правильно написал?
Аса нийса элирий?;Я правильно сказал?
Суна нохчийн дешнаш язда Темина;Я научился(лась) писать чеченские слова
Соьга и аз ца ал ало;Я не могу произнести этот звук
Ахьа сиха дуьйцу;Ты быстро говоришь
Суна хТокху деша н маьТана ца хаьа;Я не знаю значения этого слова
И дош, сих а ца луш, меллаша ал ахьа;Произнеси медленно, не торопясь, это слово, пожалуйста
Суна дуккха а нохчийн дешнаш хаьа;Я знаю много чеченских слов
Суна нохчийн маттахь деша а, язда а хаьа;Я умею читать и писать по-чеченски
Суна нохчийн мотт дика Iамо лаьа;Я хочу хорошо выучить чеченский язык
Хьуна муьлха мотт хаьа?;Какой язык ты знаешь?
Суна масех мотт хаьа;Я знаю несколько языков
Суна ... мотт хаьа;Я знаю ...
Суна итальянски мотт хаьа;Я знаю итальянский
Суна испански мотт хаьа;Я знаю испанский
Суна гуьржий н мотт хаьа;Я знаю грузинский
Суна гIебартойн мотт хаьа;Я знаю кабардинский
Суна эрмалой н мотт хаьа;Я знаю армянский
Суна жуытий н мотт хаьа;Я знаю еврейский
Суна туркойн мотт хаьа;Я знаю турецкий
Хьо ирс долуш стаг ву-кх!;Ты счастливый человек!
ДЕХАР;ПРОСЬБА
МАГАДАР;РАЗРЕШЕНИЕ
Чуван мегар дуй?;Можно войти?
Чуян мегар дуй?;Можно войти?
Мегар дуй?;Можно?
Мегар ду, чувола, охьахаа;Можно, входи, садись
Мегар ду, чуйола, охьахаа;Можно, входи, садись
Мегар ду, чудуьйла, охьаховша;Можно, входите, садитесь 
Аса гlo дей хьуна?;Вам помочь?
Бехк ма биллалахь, цхьана минотехь собар дехьа, со хIинца волу хьуна;Извини, пожалуйста, подожди минутку, я сейчас закончу
Суна гIo дийр дацара ахьа?;Не мог(ла) бы ты мне помочь?
Дера дийр ду;Конечно, помогу
Хьайна хала дацахь, гIo дехьа суна;Если тебе не трудно, помоги мне, пожалуйста
По дехьа суна;Помоги мне, пожалуйста
Цхьа гIуллакх дийр дацара ахьа?;Не сделал бы ты одно дело?
Къамел дац, схьаалал;Какой может быть разговор, говори
Хьайна хала делахь а, и тIоьрмиг схьа-кховдабехьа суна;Хоть тебя это и затруднит, передай мне эту сумку, пожалуйста
Хьайна хала дацахь, жимма дIахилахьа;Если тебе не трудно, немного подвинься, пожалуйста
Хьо дика а вай, кор дIакъовлахьа;Будь добр, закрой, пожалуйста, окно
Кор дIаделла мегар дуй?;Можно открыть окно?
Мегар ду, дIаделла;Можно, открывай
Хьо дуьхьал яцахь, аса цигаьрка узур яра-кх;Если ты не против, я бы закурил
Со цIа йигахьа;Отвези меня, пожалуйста, домой
Дог реза долуш;С удовольствием
