noxchi,russian
но хо кхетр вац ас хубах,Но ты не поймёшь что я говорю
са легш лозу,У меня горло болит
Безам х1у ю хаи хьун?,Знаешь что такое любовь
Хьo,Ты
Жоп ло ваша,Ответь братец
Мац дар и,Когда это было
Дел рез хил хьуна массо х1уман а,Спасибо тебе за всё
Дел шу,Смейтесь
"Харцон дуьхьло йа хьайгахь ниц1къ бацахь, цуьн толам т1е мукъа ма лаца.","Если у тебя нет сил бороться с несправедливостью, то хотя бы не приветствуй ее торжество"
Са дог дуй хьо,Ты же сердце моё?
Буьйса декъала хуьлда,Спокойной ночи
Сун хьо ез,Я люблю тебя
Беркате дохийла хора доху де,Пусть каждый день приходит благодатным
Со нохчи ву,Да я чеченец
А т1акх мегш ду кхета хьун,"а, хорошо, поняла"
"Хумма, хиъ 1аш ву, хьо?","Нечего сижу, а ты"
Сег1аз,Жвачка
Тахан?,Сегодня?
Лайк йилла,Лайк поставь
ХӀу оьшар хьун?,Чего тебе надобно?
Кхитта,Понял
Гор хаъ,На колени
Мухь вуо йиша?,"Как ты, сестра?"
Онда т1улг,Твёрдый камень
Хьай дог эт1ар саца де,Здерживай свой гнев
Хьо ловш вуй,Тебя ищут
Я1ана йоьж,Смещение атланты
"Де дик хуьл хьа Абубакар, ишколе х1унда ца веар хьо?","Привет Абубакар, почему в школу не пришёл"
1ех ма е и,Не обманывай её
Берката,благого удела
Ваша кхи паб к1езг ловзита молх дуй хьоьхь?,"Брат, есть ли такое лекарство, чтобы я мало стал играть в пабг."
Хандешнаш,Глаголы
Ас нохчийн мотт 1амийна,я выучил чеченский
"Кхиъ карор бар хьун нохчий нах, г1айг1ане ма хила хьо, ишт берш шорт бу хьуна","найдёшь себе ещё людей чеченцем, не печалься. много таких."
Ц1е ху йу хьа,Как тебя зовут?
Мичахь йу хьо?,Где ты?
Мичахь ву хьо?,Где ты?
йов хьай ном яита яр акк деллаг вон со хьуг,"Эй пришли свой номер, это я который тебе этот акк дал"
Тхо долчехь тахан ло деан,У нас сегодня пошел снег
Ламаз эцар,Омовение
Аккаунт эц воллари хьо?,Ты хотел купить аккаунт
Дела реза хьуйл Ахи,Спасибо тебе брат
Хьо са шадегга дукх,Ты для меня все
Хьо ца хилч ца мег со,Я не могу без тебя
Х1унда?,Почему
Яночка хьо мил йу?,Яночка ты кто
Суна хью дуккха ез,Я люблю тебя
Лелар вац,Не буду ходить
Докх баркал хуьл хьун ваша!,Спасибо огромное брат
Дик каг йина и телефоншам,Нормально так телефоны разбиты
Сан дог лечкъа ма делахь,Не укради мое сердце
Витац,Не оставляют в покое
Дийнатаца,С животным
Нохчий юй хьо?,Ты чеченка?
Хьо тахна х1ун деш ю?,Что ты сегодня делаешь?
Вашийца хабар дуьйцуш вара,Разговаривал с братом
Им сёгаъ лакх ло эшар,Я тоже могу петь песню
Наь1,Дверь
Кхан домой вохш вуй?,Возвращаешься завтра домой?
цуьнг хат дезш хум ду и?,Это у него надо спрашивать?
Кент нана,Мать сына
"Саня идиот и Сава тоже, чистейшие идиоты",Саня 1овдал ву и Сава ву ц1ен 1овдлш бу
"ЛАЬА ХЬАН ДАХАРЕХЬ ДАИМА А АЬТТО ХУЬЛИЙЛА, ХЬУНА МЕЛ ЛИЪНАРГ КХОЧУШ ХУЬЛИЙЛА А!",Хочется чтобы в твоей жизни всегда всё получалось и чтобы всё что тебе захотелось становилось полноценным.
Я мукъа мил ю хьо,Кто ты такая то?
"Сан мерза цициган кӀорни, хьо суна чӀогӀа оьшу","Котик мой сладкий, ты мне очень нужен"
Ахь лехнаг,"Тот, кого ты искала"
Ахь лехнаг,"Тот, кого ты искал"
"Де дик дойл. Кар ма ца во сун и, мичахь ву и?","Всем привет! Не могу его найти, где он"
Хьо юн и са,Это ты моя
Хьун лат лаьи?,Ты дратся хочешь
Ахь сурт ца даитар,Ты фотографию не прислал
Ахь сурт ца даитар,Ты фотографию не прислала
Амма дукха,Но много
давал кхузар,Уйди отсюда
Хьо дукха лоь,Ты много говоришь
ахь дукха дуьйцу,Ты много говоришь
Хьан марха дарий?,Ты держал пост?
Ахь марха кхаьбнай?,Ты держал пост?
Шу кхан базар г1уш дуй,Завтра на базар идете?
а яз мух йо ахь т1а нохчий яцахь,"А как ты пишешь, раз не чеченка"
Ламазан куз,молитвенный коврик
варийлахь,будь внимателен
варийлахь,начеку
Эшар лакха,Спой песню
ма г1о дог ойл ю хьа йа,Какого же ты плохого мнения
Со кхан ар волуш ву,Я завтра выхожу
Г1улкхш муг1 ду са ваш,Как дела брат
"Йо1ах лаьц хум хьо кхечуьнг дуьйцш валахь,хаълахь хьо стаг воци, я хьоьх хира воци.","Если ты говоришь что-то связанное с девушеками с другими людьми, знай что ты не мужчина, или никогда не станешь мужчиной"
Мультфильм хьожуш ву,мультфильм смотрю
Вай довза мегар дарий?,Можем познакомиться?
ишт хаз ву хьо вуй,"Ты такой красивый, да?"
Хьо соьхь кхет хир ву аьл хет сун,Я надеюсь ты меня понял
Йицъелла,Забыла
Сун йиттан,Меня побили
Дик к1ант,Хороший мальчик
Куьгш тхьуз даьлла са,У меня руки затекли
"Ас хьо ирсе йир ю, соьг йола","Я тебя сделаю счастливой, выйди за меня"
Хал ду сун нохчийн мотт бийца,Мне говорить трудно на чеченском
Къинт1ер вакха со,Извинитесь пожалуйста
Дог даьхьнарг,Тот кто украл сердце
Массарна ву хьуна хьо,Ты для всех
Ахь соьг яз х1унд ца йо,Ты почему мне не пишешь
хьуьнара,"Активный, энергичный"
Хьераяьлла зуда,Безумная женщина
Суна Нохчийчоь дукха еза,Я люблю Чечню
"Нис дег аьлч хал хет, хети?","когда говорят правду, огорчает, да?"
Аллах ву вайна кхелахо,Всевышний нам судья
Аллах ву вайна суьдхо,Всевышний нам судья
Товш х1умш дац уьш,Недозволительные вещи
Иштт даг1ахь марш дог1ийл керла шо,"Если новый год придёт так, тогда я приветствую его"
Хьун со хези,Ты меня слышишь?
Хилар им,Бывает
"Х1аъ, со нохчи ю","Да, я чеченка!"
Бес-бесара олхазарш д1адоьлху бовхачу махка,разноцветные птицы летят в тёплые края
Хьаьмцаш,Мушмула
Ши лам,две горы
Соьга Сантас телефон тоьхна аьлла шен сай бедда,"Мне позвонил Санта и сказал, что у него сбежал олень."
Хьо мичахь доьшуш ву,Где ты учишься
Барх1 эзар барх1 б1е барх1,Восемь тысяч восемсот восемь
"Дика хилийл хьо, хьай са да1 сан ваша!",Хорошего отдыха брат мой
Со цуьн гергара стаг ву,Я того родственник
Хьо салуева юй,Это ты Салуева?
Дел карахь ду шадег,Все во власти Аллаха
Хьо екъ ц1ен х1уп1лиг юкх,Ты просто нулевой чел
Тхо ойла еш ду,Мы думаем
Пхи шо хьалха,5лет назад
Со чоь ц1ан еш ю,Я убираюсь в комнате
Со йолало араяьлла,Я пошла гулять
"Хьун дик ду, ваша",Тебе хорошо брат
"Со хаза ю, ле яц?",я красивая или нет?
"Умар, хьайг хинц цхьямо язйахь со яцун","Умар, если тебе кто-то напишет это не я"
1апказ,Океан
Кханен х1у да г1ерташ ву хьо?,Какие планы на завтра ?
Дагах дуьйлу аз,Крик души
со ладуг1ушву,Я слушаю
Хьан воьвза и?,Кто его знает
Шийтта эзар,Двенадцать тысяч
Синтаксически буьззина таллам бе предложенийн,Сделайте полный синтаксический анализ предложения
Ворх1 б1е ткъе биъ 1аж,Семсот двадцать четыре яблок
Ц1а доьлху,Идем домой
Шеко йоцу билгало,Ясное знамение
9000,Исс эзар
90000,Дезткъе итт эзар
Кхузткъе кхойтталг1а,Семьдесят третья
Кхузткъе кхойтталг1а,Семьдесят третье
Кхузткъе кхойтталг1а,Семьдесят третий
Иштаъ,Потому.
Со нохчийн маттах ца кхета,я чеченский не понимаю
Нохчий махкахбахарх лаьцна нохчийн маттахь,Про высылку чеченцев на чеченском языке.
9100,Исс эзар б1е
чекхадалар,Законченность
Ку массарна,Ку всем
Хьо дика адам ду,Ты хороший человек
хьо ирч ю,Ты некрасивая
"Тайп-тайпана меттигашкара схьабаьхкинехь а, гӀалахь Ӏаш болу нах дика Ӏаш бара","Хоть и съехались из разных мест, живущие в городе люди жили хорошо"
Хьо ца кхета,Ты не понимаешь
Цхьа эзар исс б1е шовзткъе ворх1олг1а шо,1947 год
Ца кхет наби доц ахчи,"Невозможность уснуть, отсутствующие деньги"
Ца кхет,Не понимаю
Дел рез хийл ваша,"Пусть Аллах будет доволен, брат"
Дел рез хийл ваша,"Пусть Аллах будет доволен, дядя"
Дала гlазот къобул Дойла цера,Пусть Аллах примет их газават
Хумма дуй?,Есть что нового?
"хуна ала са хӀумма дац, йа билла бехка бац.","Мне нечего тебе сказать, и не в чем обвинить."
са видеош хумш ц кхисч кхи кхос хум яц хьа?,Кроме моих видео у тебя больше ничего нет чтобы публиковать?
Хьо сан ваша ву,Ты мой брат
"Дика ду, 1одикайойла",Ладно пока
Хьо ч1ог1а хаза ю,Ты очень красивая
Пубг ловзи юй хьо,Сыграешь в пабг?
Нохчи яц бах ахь?,Значит ты не чеченка?
Комната отдыха персонала,Садо1у чоь.
Со веанера,Я Приходил
Со ирсе йу хьоьца,Я счастлива с тобой.
Синтем байна,Неспокойно
Г1аскхийн оьздангалла,Русская культура
Соьци дик талмаж ву,У меня хороший переводчик
Ас бокъал бах,Я говорю правду.
д1а яккха,Убери
Ассаламу 1алайкум! Нохчийчуьра мила ву?,Салам алейкум кто из Чечни
Хьо йалар из,Если бы это была ты
"Ассаламу 1алайкум ваша, х1у ду хьо волчахь, дика 1ай?",Привет братишка что у тебя нормально живёшь?
И меттиг йита,Оставь этот момент
Б1е цхьаъ,Сто один
Йитан юкх хьо,Оставили тебя
ткъе шийтта,Тридцать два
бора ши б1аьрг,Два бурых глаза
Буькъа т1ом,Густая война
Ненан йиша,Тётя
Цхьа Адам хьуьнха дига деза,Одного человека нужно отвезти в лес
"Кисан ма хьежа, дог киснахь ма дац!","Не смотри в карман, сердце ведь не в кармане!"
Хьо школе х1унда ца еара?,Почему ты не пришла в школу?
900,Исс б1е
Дов д1а дели,Ссора прошла
Т1акх ас вообще ма яз яй?,Может тогда мне вообще не писать?
Са йо1ш,Отдыхаем
Суна а хаьа жимма Нохчийн мотт,Я тоже знаю немного чеченский
чуволи хьо,Зайдёшь ты?
Цхьа адам хьуьнха дига деза,нужно отвезти человека одного в лес
Сурт даита ваша,Скинь фото брат
Дайни шун,"""Вы видели?"""
Фри фаер муха хета хьуна?,Как относишься к фри фаеру
К1адъелла шух,устала от вас
"Машен х1унда юьлуш ю, иза иштта а ц1ена хилча?",зачем мыть машину когда она и так чистая?
Хьоьл хаза ца1а хумма дац,"Красивее тебя, ничего нет"
Ма тишина ду шу,Какие же вы тихие
Отлетишь дийр Ду хьун,Ты сейчас сам отлетишь
Х1инци суьйре яц,Ещё не вечер
Хьо са дахар ду,Ты моя жизнь
хьо мо чьог1 ю,Какая же ты сильная
Молл тхов техь декхнаг даита,"Скинь то, которое сделал на крыше Молл"
Х1ун хилла,Что случилось
"Сан хаза нана,суна хьо ч1ог1а дукха еза,сан хьоме нана","Моя красавица мама, я очень сильно люблю тебя моя дорогая мама"
Шовданийн кортошкахь,У начала родника.
Хьоми,Дорогая
Хьоми,Дорогой
ху дийца вол хьо?,О чем ты собираешься рассказать?
Цхьанне керла толамашна т1,Вместе к новым победам
Со ц1е,я имя
Со Рамзан ву,я рамзан
Х1ара эшар лерина ю уггаре дикачу йо1ана,Эта песня посвещается самой лучшей девочке
Цхьамо г1ант схьаоздайш,Кто-нибудь подвиньте стул
Телефон бехк бу,Это вина телефона
Схьаэца,Взять
"Суна 1алам деза, ас садо1у 1аламахь. Аса билгалдоккху, 1алам наха бехош дуй. Ас муха г1о дан деза 1аламан,иза ц1ена хилийта? Диттанаш хедадо хьунхьакхархошара, хи бехдо луьйчу наха.","Я люблю природу и отдыхаю на природе. Я заметил что природа становится грязной. Как я могу помочь природе чтоб она стала чише. Деревья срубают лесорубы,воду загрезняют люди которые купаются"
Сун хьа нан ез,я твою мать люблю
Ваша кхечу г1ала ваханера,Брат уезжал в другой город
Хицахь докх,Сейчас сделаю
Со Дик йо1 ю,Я хорошая девочка
1ан т1яхь дуоллур ду,Зимой начнем
Коьрта турпалхо,Главный герой
"Сайга да лууш дерг соьга ца далделча, саб1арзало сан.","Когда у меня не получается добиться того, что я хочу, я чувствую отчаяние."
Ас хьо,Я тебя
Дала хьуна къинхетам бахь,Если Аллах проявит тебе милость
ян ца лаьа,Я не хочу придти завтра
Суна кхана ван,Я не хочу придти завтра
Муха ала деза?,как сказать то?
Мичар ю хьо?,Откуда ты?
Хьо тайпана мила ю?,Какой у тебя тейп
Хьо тайпана мила ву?,Какой у тебя тейп
Со харц луьш вац,Я не вру
Со кхана вог1ура яц,Я завтра не приду
Со кхана вог1ура вац,Я завтра не приду
Къоман сий,Честь народа
Тхан дехар,Наша просьба
И х1у бохарг ду?,Что это значит?
Кест-кеста,Часто
сих-сиха,Быстро
Ораматаш,Растения
Хьо цомгуш ма ю,Ты же болеешь
Хьо цомгуш ма ву,Ты же болеешь
Ц1а юьтар яц,Домой не пустят
менгеш кеч де шей,Приготовьте свои кровати
Д1а ял хинц мил ялахь,"Отстань, кем бы ты ни была"
хаз дуй т1акх марехь,"Ну и, хорошо быть замужем?"
Дер ю хьом,Это точно ты
"Д1адоккхура ду аса, хьуна иштта хетахь",Уберу если ты так считаешь
"Руслан, хьо Нохчо валахь х1аъ ала","Руслан, если ты чеченец, скажи да"
Айшай г1уллакхаш муха ду?,Как дела у Айши?
Ц1ахь дерриге а тоьар долуш ду,Дома всё нормально
Д1абахайтахь уьш,Пусть они уходят
Ерриг лакха,Спой всё
Хьо уггаре а дика Нохчийн хьехархо ю!,Вы самый лучший учитель чеченского языка
Хьо уггаре а дика Нохчийн хьехархо ву!,Вы самый лучший учитель чеченского языка
д1аяла бокъал бах ахь цо кхус хьо,"Да что ты, серьезно? Она тебя бросит"
д1аяла бокъал бах ахь цо кхус хьо,"Да что ты, серьезно? Он тебя бросит"
Муха мегар дара со ц1а яха?,Как мне можно уехать домой
Муха мегар дара со ц1а ваха?,Как мне можно уехать домой
Хьо к1ант ву или йо1 ю?,Ты парень или девушка?
Дал барт цхьа1 бойл,Да благославит Аллах1 ваш союз
Хьун х1у оьш?,что тебе надо?
ца кхет со,не понимаю я
к1енти ледар бац,Парни не из слабых
Ларт1ехь вуй хьо?,Ты нормальный?
Нана муха ю?,Как матушка?
Нохчийн маттах кхети хьо? Хьо вроде г1аскхи ма яр?,Ты понимаешь чеченский язык? Ты же вроде русская была?
д1ас мил къаьстна,Кто расстался?
Ахьа 1амайни?,Ты выучила
"Х1унда, дица?",Расскажи почему?
Сан сине сагат ма дайтахь,Не тревожь душу
"Ду, и хир ду","Да, так и будет"
"Г1иллакх лело хала ма дацара, и лелеча атта ца хетахьара","Было бы не трудно проявлять вежливость, если бы это не воспринимали за слабость"
Безам - иза цхьа адам бен ца гуш долчу син хьал ду,Любовь это состояние души которое смотрит лишь на одного человека
"ВАША, СО ХЬО ВАЙЧ МЕГАШ ВАЦ",БРАТ Я ТЕБЯ НЕ НАВИЖУ
Йоьшу,Читаю
1алам дукха деза суна,Люблю природу
"Рамадан баттахь къаьсттина ка а йолу, хьунар а хуьлу дика г1уллакхаш дан, во х1уманаш дан лаам лахбаларна бахьана","Во время Рамадана наступают особенно благоприятные условия для совершения благих дел, поскольку уменьшаются искушения"
"Харцо, ма атта юьц хьо нах, ма хала лов хьо даго","Ложь, как просто говорят тебя люди,как сложно принимает тебя сердце"
Дадин кетар,Тулуп отца
Ва Салам Дика ду хьо муха ву,Уа 1алайкум ассалам! Хорошо! Ты как?
И ца дийца и дерриге да муха 1емар вара те???,Чтобы это не говорить как научиться всё это делать?
Хьо Сун войзуг ма Ву вуй,"Ты тот, кого я знаю?"
кхьи д1а х1ум аьлч дов дер ду,"Если еще что-то сказать, будет уже ссора"
Х1умма деш вац,Ничем не занят
Хьо бахьанехь,Из-за тебя
Д1а доьди вай?,Мы уходим?
Иза шадерриг гуш ву,Он все видит
Соъ якха юкх,Меня тоже добавь.
Цуьнг язош юй,ему пишет?
Цуьнг язош юй,Ей пишет?
Кхета хан ма ю,Пора уже понять
"Сан хьоме нана! Ас доьху хьоьга къинт1ера ялахьа суна, суна ч1ог1а эхь а хета, ч1ог1а дохко а ваьлла со хилчунна. Х1окху дуьненахь массо х1уманел ч1ог1а хьо сингаттаме, дог доьхна йолуш го ца лаьа суна. Хьо массо хенахь екхна, елаелла, дика дог-ойла йолуш хилийта лаьа суна","Мамуля моя любимая! Я прошу у тебя прощения и хочу сказать, что мне очень стыдно, и я очень сожалею о случившемся. Больше всего на свете не хочу видеть тебя расстроенной и грустной. Ты должна всегда радоваться, быть в прекрасном настроении,"
Йо1а ишколе еана,Девочка пришла в школу
Хума дуй ц1ахь,Что дома? Что там?
Хьуна х1унда моьттина суна нохчийн мотт хаьа,"Почему ты решил, что я знаю чеченский язык?"
Заур вац ловз хуъш,Заур не умеет играть
Нохчи ма ю хьo юй,"Ты же чеченка, да?"
Боданан серло,Свет тьмы
гомаш к1орни,Буйволенок
"Хьо соьг цхьаммо хоттар яц, вай дойзш доц Дер","О тебе у меня никто не спросит, поскольку мы не знакомы"
"Асаламу алейкум, Зухра. Ц1ерниш муха бу? Хьо муха ю? Хьо Москвахь юй? Хьа йол Нохчийчу, тхан дерриг доьзалца хьуна собар деш ду хьун тхо",САЛАМАЛЕЙКУМ ЗУХРА КАК РОДНЫЕ КАК САМА ТЫ В МОСКВЕ? ДАВАЙ УЖЕ В ЧЕЧНЮ МЫ ТЕБЯ ВСЕЙ СЕМЬЁЙ ЖДЕМ
Когаш хоттех буьзина бара,Ноги были в грязи
Со х1инца бе йола елла яц нохчийн мотт 1ама бан,Я только начала изучать чеченский язык
Ва мил Ву хьо,Кто ты такой?
школе вахар,идти в школу
пенах хьостамаш тоха,Забей гвозди в стену
"Сан ваша, со а ву нохчи",Брат я тоже чеченец
йойза мегар дари хьо,Можно с тобой познакомиться
са де да ваг1ахьара ахь и телефон схьацэале!  1адда 1елахь циггахь,Даже если мой дедушка придёт сказать что бы ты трубку взял. Не куда не уходи
Кура ойла,Высокомерные мысли
Стукач,Мотт тух х1ум
Бух ца хуъш хи чу ма г1ерт,Не зная дна не суйся в воду
Кхи цхьанне дезаш дацахь,Если никто не хочет
"нохчи, сун наб йох","Чеченец, я спать хочу"
"Нана, хьо стенгахь ю?","мама, ты где?"
Со к1интьер ваьлла хьун,Я тебя простил
Тхо цигахь летта,Мы там дрались
Нохчийн борз,Чеченский волк
Хьа хазалли мах бацкх,Нет цены твоей красоте!
Хьоьгар г1о оьша,Помощь твоя нужна небольшая
1ад йита со,Оставь меня
Тахан ар воли хьо,Выйдешь сегодня?
Хьан ялсмане боьду некъ,твой путь в рай
Вагина,Обжегся
атта,элементарно
Сан ара вал ца нисло,Я не смогу прийти
Бехк ма билла,Прости пожалуйста
Хьо са ву нохчийн борз,Ты мой чеченский волк
Суна иза гина вац,Я его не видела
мархнаш кхобш,пощусь
мархнаш кхобш,постимся
Массо а х1ума хууш верг,Всеведущий
и ху маьхьарш бара шун хезири?,Это что за крики были вы слышали?
Нийса дина,Правильно сделал
Къахета хьоьх,Жаль тебя
Хьо вала д1а,Исчезни
Вайнаш т1аьхь буьссуш бац,Наши тоже не отстают
Чай доттахьа суна,Чай налей мне
Х1ун хаттар ду,Что за вопрос
Ас дахоьцу хьо,Я отпускаю тебя.
Хьо са дог ду,Ты мое сердце
Вац мокъа,не свободен?
Оьрсийн нохчо,Русский чеченец
Им яц хаз,Она не красивая
Ар мил вол,Кто выйдет?
Д1айала,Отойди
И ц1а накъост ой Абхази кочар ху дич вер вар те,"Какой то мальчик с Абхазии, достал меня, когда он от меня отстанет?"
Со ца кхиира ахча схьадаккха,Я не успел снять денег
Цхьан адмо йина эзар чов,"1000 ран, сделанных одним человеком"
"Д1адоьдург ма сецаде, т1едог1ург ма къехкаде","Уходящее не останавливай,приходящее-не гони"
"Хила мега, дерриге а хила там бу","Может быть, все возможно"
Соьга нанас ца аьлла,мне мама не говорила
"Бехк ма билла, амма и къа ду, доттаг1","Прости но это грех, друг мой"
"Шах, юьхь маца гойту ахь?","Шах, когда лицо покажешь?"
"Шу дин ма ду х1оранца а дика хила бохуш, ткъа хьо иштта х1унда лела?","У вас же религия которая исповедует добро к каждому человеку, зачем ты тогда так себя ведешь?"
Сан дахарехь хилладолу угаре дика х1ума ду хьо,Ты самоее лучшее что было в моей жизни
Стоьла к1елахь,Под столом
"Сай юьуьхь ерзий ас стигланаш а, латта а, кхоьллинчуьнга","Я повернул своё лицо к Тому, Кто создал небеса и землю"
Суна бе дац,Мне без разницы
Х1у хилла?,Что случилось?
Дош лой ахь???,Даешь слово?
Iаьнан юккъерчу баттахь шийла ша бинчу арахь мох бу дера тlечехаш,В средний месяц зимы на заледенелых просторах завывает ветер
Настройкаш гайта,Покажи настройки
1960,Цхьа эзар исс б1аь кхуз ткъе
Кхетта ваша,Понял брат
Медленно,Меллиш
Хьун иштта моьтта,тебе так кажется
Цкъа а синца г1ора ма делаш,Не когда не замерзайте душой
Бурч буй шуьгахь?,У вас есть перец?
Хьа вол ас хьалг1ат во хьо,"Иди сюда, я подниму тебя"
"Диц ца дина, диц дира дац, диц дан аьтто а бац","не забыли, не забудем, не можем забыть"
Суьйран ловзи вайш?,Давай вечером поиграем
Ч1ог1а дик ду,Очень хорошо
Д1асдоьвла,Разошлись
Деш юккъахь,в слове
Х1умма оли ахь?,Скажешь что-нибудь?
Суна нохчий стаге маре ягIа лаьа,Хочу замуж за чеченца
Хьо 1овдал ву,Ты дурак
К1оьвлан йо1,Покрытая девушка
Хьен вуъ хьажи давигайш из,Узнайте чей он и заберите его
Хьо меч яхнера хьо ма да ейнир хьо меч яхи,"Куда ты ходила, что-то ты пропала, куда ушла ?"
аьтто хуьлда хьан,пусть удача будет с тобой
Хьан г1айг1а сайна т1е оьца аса,Я заберу твою боль
Ахча-м долш дар,Деньги не проблема
"Сурт дик даьлла хьун, ваша","Отличное фото, вацок"
сом д1а вуьжш вацун,Я не собираюсь идти спать
Эсалчу пардоно хьулдина дегнаш,Скромной занавесью скрыты сердца
Сий дахарел деза ду,Честь дороже жизни
Хьанах ца кхет хьо? Суна ца лаьъ хьо вовзийл!?,Что не понятного? Я не хочу с тобой знакомиться!
Нохчийн мотта-ъ ца буьйц,На чеченском тоже не разговариваю
"Ламаз деш вуй хьо, ваша?",Читаешь намаз брат?
Массарна йиц йелла,Забытая всеми
Хьо ваьлли балхар?,ты закончил на работе
"Даша, хьо хаз ю",Даша ты красивая
оьши из?,она нужен?
оьши из?,он нужен?
со аварк ю,Я аварка
стиль ху олаг ю хьан,Как называется твой стиль?
Нохчий юй хьо?,Ты чеченка?
Исс б1е,Девятьсот
Хьо х1ун юьйцаш ю?,Что ты говоришь?
"Д1ял такх, д1аиж кхи","Давай тогда, иди спать"
Со х1аз вуй?,Я красивый?
Бойзчарг эр Ду ас хаи аьлла,"у знакомых спрошу, знают ли они"
Хези со,меня слышно?
Плана-м яр, план т1ехь
"харц дерг х1унда дуьйца ахь, со хьайн хазахеташ хилча?",Зачем врешь если нравлюсь
"Дала аьтто бойл, тхан ваша. Тхо хьоьца ду хьуна, хьо тхан аьрзу дуй виц ма лолахь","Удачного боя мы с тобой брат, ты наш орёл не забывай"
таро йолу доьзал,состоятельная семья
Ламанах бухдуьйлу шал шийла шовданаш,"Из гор бьют, холоднее льда, родники"
Д1а яла 1овдал,"Отстань, дура"
